amfi_code,Alpha,Beta,scheme_name
100016,0.03747580763443282,-0.05826843143880895,HDFC Top 100 Fund - Regular Plan - Growth
100025,0.042817920315060876,0.0011582183155281454,HDFC Short Term Debt Fund - Regular - Growth
100033,0.2719535450128533,0.005103525830528331,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,0.21399784776051212,0.021086316250128002,ABSL Frontline Equity Fund - Regular - Growth
101207,0.10897091901704538,-0.06528924788351527,ABSL Small Cap Fund - Regular - Growth
101208,0.060861457957871144,0.0002667096833823833,ABSL Liquid Fund - Regular - Growth
102885,0.17048756803412696,-0.019486785689474546,UTI Nifty 50 Index Fund - Regular - Growth
102886,0.028969397866379445,-0.042125029021894314,UTI Mid Cap Fund - Regular - Growth
102887,0.16211256794033255,0.016682689437770855,UTI Flexi Cap Fund - Regular - Growth
118632,0.21829397904608644,-0.00835383212696199,Nippon India Large Cap Fund - Regular - Growth
118633,0.15643835948169668,-0.036639006718609354,Nippon India Large Cap Fund - Direct - Growth
118634,0.1750072167561127,0.10349663691337586,Nippon India Small Cap Fund - Regular - Growth
118635,0.1513635464823924,-0.0014335213897801022,Nippon India ETF Nifty 50 BeES
118636,0.05074772999976104,0.0012566742731558612,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.0689952982167755,0.009730745001153628,Axis Bluechip Fund - Regular - Growth
119093,0.08232801295222093,0.02588321244009314,Axis Bluechip Fund - Direct - Growth
119094,0.2607666908004223,-0.06626542862803761,Axis Midcap Fund - Regular - Growth
119095,0.048015953637759554,-0.06695117463929204,Axis Small Cap Fund - Regular - Growth
119120,0.05620895216638369,-0.006413850728276463,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,0.23201007160635082,-0.03175144113890976,SBI Bluechip Fund - Regular Plan - Growth
119552,0.1986859936686296,-0.02615930751351343,SBI Bluechip Fund - Direct Plan - Growth
119598,0.3033696538698332,-0.0231960620440597,SBI Small Cap Fund - Regular Plan - Growth
119599,0.048824215945539845,0.06200180438267165,SBI Small Cap Fund - Direct Plan - Growth
120503,0.17703302365844073,-0.040268952369820595,ICICI Pru Bluechip Fund - Regular - Growth
120504,0.2119482701352573,0.016232169761416993,ICICI Pru Bluechip Fund - Direct - Growth
120505,0.2926358334175106,0.0005490042506317005,ICICI Pru Midcap Fund - Regular - Growth
120506,0.1625385327998104,0.041896462728119754,ICICI Pru Value Discovery Fund - Regular - Growth
120507,0.06746210411099539,-0.0004440926329707225,ICICI Pru Liquid Fund - Regular - Growth
120841,0.13042924450705445,0.036356399022199816,Kotak Bluechip Fund - Regular - Growth
120842,0.0780443887615508,0.018056874208118145,Kotak Emerging Equity Fund - Regular - Growth
120843,0.27330465038306057,-0.022829569792426566,Kotak Flexicap Fund - Regular - Growth
120844,0.06455677495375998,-0.00040074423947840073,Kotak Liquid Fund - Regular - Growth
125497,0.17729754927531766,0.0488204042595774,HDFC Top 100 Fund - Direct Plan - Growth
125498,0.11989100971217971,0.009054412621739153,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,0.2698375144191807,0.023683558075848626,Mirae Asset Large Cap Fund - Regular - Growth
148568,0.20873010086942337,-0.02638771994384303,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,0.2827036785246582,0.018133884083859218,Mirae Asset Tax Saver Fund - Regular - Growth
149322,0.13173190226099432,-0.004050271130006519,DSP Top 100 Equity Fund - Regular - Growth
149323,0.26598577542043045,-0.0025230046646992563,DSP Midcap Fund - Regular - Growth
149324,0.3005787817097677,0.011455159960520721,DSP Small Cap Fund - Regular - Growth
